UF;Município;Faixa etária;Gênero;Grau de instrução;Turno;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;100 anos ou mais              ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;0;0;1;1;2025-04-30 12:57:12
AM;ALVARÃES;100 anos ou mais              ;MASCULINO;LÊ E ESCREVE;1;0;0;2;2;2025-04-30 12:57:12
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;1;1;0;1;2025-04-30 12:57:12
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;4;0,2857;10;14;2025-04-30 12:57:12
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;18;0,8182;4;22;2025-04-30 12:57:12
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;1;1;0;1;2025-04-30 12:57:12
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;8;0,4444;10;18;2025-04-30 12:57:12
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;17;0,8095;4;21;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;FEMININO;ANALFABETO;1;0;0;1;1;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;11;0,4074;16;27;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;3;0,75;1;4;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;42;0,8077;10;52;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;FEMININO;LÊ E ESCREVE;1;1;1;0;1;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;1;1;0;1;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;20;0,625;12;32;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;23;0,7931;6;29;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;MASCULINO;LÊ E ESCREVE;1;0;0;1;1;2025-04-30 12:57:12
AM;ALVARÃES;17 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;1;1;1;0;1;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;FEMININO;ANALFABETO;1;1;1;0;1;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;5;1;0;5;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;55;0,5789;40;95;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;3;1;0;3;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;38;0,7308;14;52;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;FEMININO;LÊ E ESCREVE;1;2;0,5;2;4;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;MASCULINO;ANALFABETO;1;2;0,5;2;4;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;2;0,6667;1;3;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;60;0,6383;34;94;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;1;2;1;0;2;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;34;0,7907;9;43;2025-04-30 12:57:12
AM;ALVARÃES;18 anos                       ;MASCULINO;LÊ E ESCREVE;1;1;0,2;4;5;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;3;0,6;2;5;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;49;0,7101;20;69;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;2;0,6667;1;3;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;60;0,8219;13;73;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;FEMININO;LÊ E ESCREVE;1;4;0,6667;2;6;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;MASCULINO;ANALFABETO;1;1;0,5;1;2;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;2;1;0;2;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;73;0,7604;23;96;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;1;0;0;1;1;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;32;0,6667;16;48;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;MASCULINO;LÊ E ESCREVE;1;3;0,6;2;5;2025-04-30 12:57:12
AM;ALVARÃES;19 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;1;0;0;1;1;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;FEMININO;ANALFABETO;1;1;0,3333;2;3;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;2;0,6667;1;3;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;51;0,6623;26;77;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;1;0,5;1;2;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;59;0,7867;16;75;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;FEMININO;LÊ E ESCREVE;1;12;0,7059;5;17;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;MASCULINO;ANALFABETO;1;2;0,6667;1;3;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;1;1;0;1;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;71;0,7978;18;89;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;1;1;0,5;1;2;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;43;0,7414;15;58;2025-04-30 12:57:12
AM;ALVARÃES;20 anos                       ;MASCULINO;LÊ E ESCREVE;1;11;0,7333;4;15;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ANALFABETO;1;6;0,6667;3;9;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;16;0,8421;3;19;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;230;0,8273;48;278;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;28;0,8;7;35;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;146;0,8022;36;182;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;LÊ E ESCREVE;1;35;0,8333;7;42;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;3;0,75;1;4;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ANALFABETO;1;17;0,6296;10;27;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;8;0,5;8;16;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;256;0,7314;94;350;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;8;0,8;2;10;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;119;0,7083;49;168;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;LÊ E ESCREVE;1;32;0,6957;14;46;2025-04-30 12:57:12
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;2;0,6667;1;3;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ANALFABETO;1;11;0,6111;7;18;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;23;0,7419;8;31;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;269;0,7452;92;361;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;20;0,8;5;25;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;54;0,75;18;72;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;LÊ E ESCREVE;1;108;0,9;12;120;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;SUPERIOR COMPLETO;1;2;1;0;2;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;5;0,625;3;8;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ANALFABETO;1;27;0,7105;11;38;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;13;0,6842;6;19;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;305;0,7568;98;403;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;16;0,6667;8;24;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;56;0,7467;19;75;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;LÊ E ESCREVE;1;103;0,7464;35;138;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;SUPERIOR COMPLETO;1;2;1;0;2;2025-04-30 12:57:12
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;4;0,8;1;5;2025-04-30 12:57:12
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ANALFABETO;1;24;0,6316;14;38;2025-04-30 12:57:12
